StartDate,EndDate,IPAddress,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
9/3/20 17:52,9/3/20 17:52,67.185.73.201,100,26,47.38450623,-122.058197,11,3,5,1,1,84,2,2,2,39
9/3/20 17:52,9/3/20 17:52,69.180.33.230,100,15,33.68710327,-84.15100098,6,3,5,1,1,65,1,2,1,39
9/3/20 17:51,9/3/20 17:52,70.123.135.180,100,48,30.28460693,-98.87809753,3,4,5,1,1,39,1,1,2,49
9/3/20 17:52,9/3/20 17:52,208.86.197.201,100,38,37.75100708,-97.8219986,4,2,6,1,1,34,2,1,1,29
9/3/20 17:51,9/3/20 17:52,68.199.66.45,100,46,40.24589539,-74.28130341,8,2,6,1,1,29,1,1,1,29
9/3/20 17:52,9/3/20 17:52,172.75.33.75,100,42,33.02729797,-80.17680359,7,6,6,1,1,103,2,2,2,69
9/3/20 17:52,9/3/20 17:52,71.38.98.224,100,21,36.24729919,-115.2820969,6,2,7,1,1,51,2,1,2,29
9/3/20 17:52,9/3/20 17:52,23.240.188.216,100,19,34.19700623,-118.8199005,12,5,4,1,1,24,1,1,1,59
9/3/20 17:52,9/3/20 17:53,73.176.85.153,100,25,41.79960632,-88.00659943,7,2,5,1,1,41,2,1,2,29
9/3/20 17:52,9/3/20 17:53,99.159.102.37,100,50,35.23449707,-89.85019684,6,4,5,1,1,67,1,2,1,49
9/3/20 17:52,9/3/20 17:53,104.12.255.10,100,32,35.12930298,-80.86399841,3,2,5,1,1,29,2,1,1,29
9/3/20 17:52,9/3/20 17:53,68.226.250.67,100,34,30.0052948,-91.82260132,5,4,5,1,1,28,1,1,1,49
9/3/20 17:52,9/3/20 17:53,73.169.158.253,100,28,47.73449707,-117.4469986,3,2,4,1,1,71,2,2,2,29
9/3/20 17:52,9/3/20 17:53,75.1.153.182,100,69,29.48120117,-98.34349823,4,2,6,1,1,90,2,2,2,29
9/3/20 17:53,9/3/20 17:53,76.97.62.22,100,28,33.99159241,-83.89009857,7,2,6,1,1,41,1,1,2,29
9/3/20 17:53,9/3/20 17:53,174.250.22.7,100,20,37.75100708,-97.8219986,4,3,6,1,1,87,1,2,2,39
9/3/20 17:52,9/3/20 17:53,184.181.105.21,100,43,33.7328949,-118.295105,5,2,7,1,1,100,2,2,2,29
9/3/20 17:53,9/3/20 17:53,71.178.204.92,100,23,38.88650513,-77.0911026,9,2,5,1,1,64,1,2,1,29
