Duration (in seconds),Q1,Q2,Q3,Q4,bonus,perturb1,perturb2,perturb3
37,6,3,5,1,31,2,1,1
92,3,6,5,1,71,1,2,1
59,5,2,6,1,33,1,1,2
27,2,1,2,1,10,1,1,1
33,6,3,5,1,24,1,1,1
17,3,2,5,1,64,1,2,1
100,6,5,7,1,107,2,2,2
24,4,3,4,1,68,2,2,2
25,7,3,7,1,34,1,1,1
15,8,3,7,1,34,1,1,1
30,6,1,5,1,21,1,1,1
81,2,3,6,1,36,2,1,1
38,5,1,5,1,73,2,2,2
36,5,2,7,1,39,1,1,2
14,6,2,6,1,80,2,2,1
66,7,2,5,1,64,1,2,1
28,8,4,5,1,74,1,2,2
17,5,2,3,2,43,1,2,2
39,11,3,6,1,36,2,1,1
26,3,3,4,1,31,2,1,2
63,11,3,5,1,30,1,1,2
27,4,4,7,1,104,2,2,2
67,5,2,5,1,70,2,2,1
40,5,2,6,1,27,1,1,1
83,3,2,5,1,64,1,2,1
19,5,2,5,1,70,1,2,2
29,4,2,5,1,70,1,2,2
31,2,2,7,1,44,2,1,2
93,3,2,5,1,22,1,1,1
16,1,4,2,1,55,2,2,1
17,2,2,5,1,22,1,1,1
18,1,3,2,2,7,1,1,2
108,3,2,3,2,48,2,2,1
87,4,3,6,1,90,2,2,2
34,5,4,4,1,35,2,1,2
27,11,4,7,1,42,1,1,2
36,4,5,4,1,32,2,1,1
32,6,2,5,1,70,2,2,1
69,5,7,6,1,42,1,1,2
19,4,3,4,1,62,1,2,2
36,3,5,5,1,37,2,1,1
10,1,3,2,2,14,2,1,1
53,8,5,3,2,58,2,2,1
31,4,3,5,1,79,2,2,2
18,4,2,7,1,33,1,1,1
21,3,3,3,1,57,2,2,1
19,7,3,5,1,31,2,1,1
75,6,3,5,1,73,2,2,1
36,9,2,6,1,32,2,1,1
30,5,3,5,1,30,1,1,2
22,5,4,5,1,74,1,2,2
34,12,2,4,1,28,2,1,2
87,1,2,5,1,64,1,2,1
75,5,1,5,1,69,1,2,2
45,3,3,5,1,30,1,1,2
22,10,3,6,1,36,2,1,1
17,8,4,5,1,82,2,2,2
13,5,2,4,2,48,1,2,2
21,11,3,5,1,66,1,2,1
51,5,2,5,1,27,2,1,1
35,3,5,5,1,27,1,1,1
20,6,3,5,1,79,2,2,2
27,5,1,6,1,30,2,1,1
18,3,2,5,1,76,2,2,2
37,6,5,5,1,43,2,1,2
44,11,3,3,1,63,2,2,2
25,11,3,5,1,73,2,2,1
30,6,2,7,1,97,2,2,2
25,8,2,5,1,28,1,1,2
33,6,3,5,1,79,2,2,2
22,6,3,5,1,24,1,1,1
22,7,2,5,1,22,1,1,1
19,1,4,6,1,87,2,2,1
22,6,2,6,1,75,1,2,1
35,6,1,4,1,21,1,1,2
27,6,2,5,2,21,2,1,2
83,4,2,5,1,70,2,2,1
19,5,2,5,1,70,1,2,2
26,9,3,5,1,73,2,2,1
26,12,2,6,1,38,2,1,2
25,3,3,5,1,66,1,2,1
27,12,4,3,1,52,1,2,1
133,10,2,4,1,23,1,1,2
33,3,2,7,1,33,1,1,1
33,8,3,5,1,79,2,2,2
16,5,2,5,1,70,2,2,1
33,4,2,7,1,91,2,2,1
91,1,2,7,1,97,2,2,2
61,4,2,6,1,86,2,2,2
30,1,2,4,1,23,1,1,2
31,1,3,3,2,17,2,1,2
30,4,3,7,1,40,1,1,2
62,5,2,7,1,86,1,2,1
37,4,2,3,1,60,2,2,2
33,2,4,4,1,26,1,1,2
74,10,2,5,1,27,2,1,1
30,7,3,5,1,73,2,2,1
15,2,4,7,1,42,1,1,2
47,4,6,7,1,58,2,1,2
30,7,4,3,1,61,2,2,1
31,4,3,6,1,36,2,1,1
26,5,4,6,1,85,1,2,2
53,6,3,5,1,30,1,1,2
