Q1,Q2,Q3,Q4,SC0,Random ID
6,2,5,1,1,609804
6,3,5,1,1,822535
11,2,5,1,1,117773
6,2,4,1,1,302891
8,3,5,1,1,673370
1,2,5,1,1,227955
7,3,5,1,1,126190
3,2,5,1,1,247898
2,2,5,1,1,747935
1,2,4,2,1,497844
4,2,5,1,1,220611
6,2,5,1,1,881424
11,3,5,1,1,739493
3,3,6,1,1,220202
4,3,2,1,1,847288
3,3,5,1,1,521762
5,2,5,1,1,451411
8,2,5,1,1,426768
3,3,5,1,1,241670
3,2,3,1,1,562577
5,2,6,1,1,673982
1,3,5,1,1,923599
6,2,5,1,1,559453
2,3,4,1,1,668051
6,1,5,1,1,519689
5,4,6,1,1,998095
2,3,5,1,1,172261
3,3,6,1,1,666288
5,2,5,1,1,782202
5,3,5,1,1,551248
7,4,7,1,1,939557
10,2,7,1,1,402481
6,2,6,1,1,611849
7,2,5,1,1,186856
6,4,5,1,1,430755
8,2,6,1,1,666572
6,2,5,1,1,161799
6,2,6,1,1,831910
8,3,5,1,1,263105
6,2,5,1,1,694234
10,2,7,2,1,312716
3,3,6,1,1,268501
8,2,5,1,1,824840
7,3,6,1,1,737054
6,4,4,1,1,280570
5,4,5,1,1,644621
6,3,5,1,1,620783
7,2,5,1,1,298735
9,2,5,1,1,355576
4,2,5,1,1,572554
3,1,5,1,1,786173
4,1,7,1,1,303436
7,3,5,1,1,704352
4,2,3,1,1,127732
8,5,5,1,1,745884
8,2,5,1,1,729749
5,2,5,1,1,344162
3,4,5,1,1,886497
3,3,3,2,1,248116
5,4,5,2,1,102647
6,1,5,1,1,192282
3,3,5,1,1,974793
10,7,5,1,1,953143
3,2,6,1,1,136905
5,4,6,1,1,605797
4,3,3,1,1,773043
10,2,5,1,1,780733
1,1,5,1,1,118199
7,3,6,1,1,169170
1,1,5,1,1,474649
4,2,4,1,1,290075
2,2,3,2,1,844264
3,3,4,1,1,726171
1,2,3,2,1,247319
3,3,5,1,1,458006
12,2,7,2,1,402263
8,4,5,1,1,759086
4,3,2,1,1,292576
6,2,6,1,1,311868
2,3,2,1,1,174382
2,2,5,1,1,992165
7,1,5,2,1,689652
9,2,5,1,1,558537
5,3,5,1,1,827213
5,4,5,1,1,929263
11,3,5,1,1,236109
4,2,5,1,1,641120
6,2,5,1,1,458192
7,2,5,1,1,484349
8,3,4,1,1,447648
3,2,5,1,1,746571
3,2,5,1,1,451860
2,4,2,1,1,947778
4,3,3,1,1,363003
9,2,7,1,1,374632
2,2,5,1,1,830750
5,2,4,1,1,706349
3,3,5,1,1,378565
4,2,6,1,1,408893
